2025-12-24 00:07:27.fff | space:: fired (tap detected)
2025-12-24 00:07:27.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:07:27.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:27.fff | space+k fired (spaceMode: 1)
2025-12-24 00:07:27.fff | space+j fired (spaceMode: 1)
2025-12-24 00:07:28.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:07:28.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:07:30.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:30.fff | space+h fired (spaceMode: 1)
2025-12-24 00:07:30.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:07:31.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:07:34.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:34.fff | space+l fired (spaceMode: 1)
2025-12-24 00:07:34.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:07:34.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:07:34.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:34.fff | space:: fired (tap detected)
2025-12-24 00:07:34.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:07:36.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:36.fff | space+k fired (spaceMode: 1)
2025-12-24 00:07:36.fff | space+j fired (spaceMode: 1)
2025-12-24 00:07:36.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:07:36.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:07:37.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:37.fff | space+j fired (spaceMode: 1)
2025-12-24 00:07:37.fff | space+j fired (spaceMode: 1)
2025-12-24 00:07:37.fff | space+j fired (spaceMode: 1)
2025-12-24 00:07:38.fff | space+k fired (spaceMode: 1)
2025-12-24 00:07:38.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:07:38.fff | Timer: RELEASE confirmed after 62ms - deactivating space mode
2025-12-24 00:07:42.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:42.fff | space+l fired (spaceMode: 1)
2025-12-24 00:07:43.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:07:43.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:07:43.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:44.fff | space+k fired (spaceMode: 1)
2025-12-24 00:07:44.fff | space+j fired (spaceMode: 1)
2025-12-24 00:07:44.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:07:44.fff | Timer: RELEASE confirmed after 62ms - deactivating space mode
2025-12-24 00:07:52.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:52.fff | space+k fired (spaceMode: 1)
2025-12-24 00:07:52.fff | space+j fired (spaceMode: 1)
2025-12-24 00:07:53.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:07:53.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:07:53.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:53.fff | space+k fired (spaceMode: 1)
2025-12-24 00:07:53.fff | space+k fired (spaceMode: 1)
2025-12-24 00:07:53.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:07:53.fff | Timer: RELEASE confirmed after 62ms - deactivating space mode
2025-12-24 00:07:55.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:55.fff | space+j fired (spaceMode: 1)
2025-12-24 00:07:55.fff | space+j fired (spaceMode: 1)
2025-12-24 00:07:55.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:07:55.fff | Timer: RELEASE confirmed after 62ms - deactivating space mode
2025-12-24 00:07:59.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:59.fff | space+h fired (spaceMode: 1)
2025-12-24 00:07:59.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:08:00.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:08:01.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:01.fff | space+l fired (spaceMode: 1)
2025-12-24 00:08:01.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:08:01.fff | Timer: RELEASE confirmed after 62ms - deactivating space mode
2025-12-24 00:08:01.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:01.fff | space:: fired (tap detected)
2025-12-24 00:08:01.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:08:03.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:04.fff | space+l fired (spaceMode: 1)
2025-12-24 00:08:04.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:08:04.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:08:06.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:06.fff | space+h fired (spaceMode: 1)
2025-12-24 00:08:06.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:08:06.fff | Timer: RELEASE confirmed after 62ms - deactivating space mode
2025-12-24 00:08:08.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:08.fff | space+l fired (spaceMode: 1)
2025-12-24 00:08:08.fff | space+l fired (spaceMode: 1)
2025-12-24 00:08:08.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:08:08.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:08:12.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:12.fff | space+h fired (spaceMode: 1)
2025-12-24 00:08:12.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:08:12.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:08:13.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:13.fff | space+l fired (spaceMode: 1)
2025-12-24 00:08:13.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:08:13.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:08:13.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:13.fff | space:: fired (tap detected)
2025-12-24 00:08:13.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:08:14.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:15.fff | space+k fired (spaceMode: 1)
2025-12-24 00:08:15.fff | space+j fired (spaceMode: 1)
2025-12-24 00:08:15.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:08:15.fff | Timer: RELEASE confirmed after 62ms - deactivating space mode
2025-12-24 00:08:15.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:15.fff | space:: fired (tap detected)
2025-12-24 00:08:15.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:08:17.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:17.fff | space+h fired (spaceMode: 1)
2025-12-24 00:08:17.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:08:17.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:08:18.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:18.fff | space+h fired (spaceMode: 1)
2025-12-24 00:08:18.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:08:18.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:08:22.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:22.fff | space+h fired (spaceMode: 1)
2025-12-24 00:08:22.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:08:22.fff | Timer: RELEASE confirmed after 79ms - deactivating space mode
2025-12-24 00:08:23.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:23.fff | space+l fired (spaceMode: 1)
2025-12-24 00:08:23.fff | space+l fired (spaceMode: 1)
2025-12-24 00:08:24.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:08:24.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:08:24.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:24.fff | space:: fired (tap detected)
2025-12-24 00:08:24.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:08:25.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:25.fff | space+k fired (spaceMode: 1)
2025-12-24 00:08:25.fff | space+j fired (spaceMode: 1)
2025-12-24 00:08:25.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:08:25.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:08:27.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:28.fff | space:: fired (tap detected)
2025-12-24 00:08:28.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:08:30.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:30.fff | space:: fired (tap detected)
2025-12-24 00:08:30.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:08:34.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:34.fff | space+l fired (spaceMode: 1)
2025-12-24 00:08:34.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:08:34.fff | Timer: RELEASE confirmed after 62ms - deactivating space mode
2025-12-24 00:08:35.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:35.fff | space:: fired (tap detected)
2025-12-24 00:08:35.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:08:35.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:35.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:08:35.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:08:35.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:35.fff | space:: fired (tap detected)
2025-12-24 00:08:35.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:08:36.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:36.fff | space+k fired (spaceMode: 1)
2025-12-24 00:08:36.fff | space+j fired (spaceMode: 1)
2025-12-24 00:08:36.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:08:36.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:08:44.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:44.fff | space:: fired (tap detected)
2025-12-24 00:08:44.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:08:44.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:08:44.fff | space:: fired (tap detected)
2025-12-24 00:08:44.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:08:45.fff | Timer: PRESS detected - activating space mode
